Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
BANK,JH291,BMO GLOBAL BANKS HEDGED TO CAD INDEX ETF,535700,20.81849,0.3602,0,1.30355,0.35,100000,0.15

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
EXPEDIA GROUP INC,EXPE US,69,166.28,8748,B748CK2
KRAFT HEINZ CO,KHC US,609,78.00,77524,BYRY499
MONSTER BEV CORP,MNST US,282,80.98,35838,BZ07BW4
REGENERON PHARMACEUTICALS INC,REGN US,53,488.17,6777,2730190
SKYWORKS SOLUTIONS INC,SWKS US,91,123.60,11584,2961053
T-MOBILE US INC,TMUS US,423,76.69,53885,B94Q9V0
VERTEX PHARMACEUTICALS INC,VRTX US,128,230.48,16245,2931034
PAYPAL HOLDINGS INC,PYPL US,593,119.11,75532,BYW36M8
SIRIUS XM HOLDINGS INC,SIRI US,2239,9.31,284949,BGLDK10
ALPHABET INC,GOOGL US,150,1663.25,19034,BYVY8G0
ALEXION PHARMACEUTICALS INC,ALXN US,111,178.82,14170,2036070
MARRIOTT INTERNATIONAL INC,MAR US,177,171.42,22516,2210614
MYLAN INC,MYL US,257,47.68,32754,BVFMFG8
CADENCE DESIGN SYSTEMS INC,CDNS US,141,61.01,17961,2302232
O'REILLY AUTOMOTIVE INC,ORLY US,41,387.42,5250,B65LWX6
AMGEN INC,AMGN US,331,251.64,42104,2023607
JD.COM INC,JD US,461,48.13,58718,BMM27D9
GILEAD SCIENCES INC,GILD US,650,102.88,82675,2369174
INTUITIVE SURGICAL INC,ISRG US,57,701.27,7194,2871301
CTRIP.COM INTERNATIONAL LTD,CTRP US,233,56.37,29633,2208987

Open Currency Forwards Position,Quantity,Hedged Currency (%),FX Forward Rate,Value Date
CAD,677912733.73,94.30864499064588229451799639,1.00000,20180208
USD,-515642000,-93.50045196352698664625734332,1.30343,20180208

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZRE,JH228,BMO EQUAL WEIGHT REITS INDEX ETF,24016900,21.66563,0.01173,0,1.30355,0.55,100000,0

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CHOICE PROPERTIES,CHP-U,14218,12.41,3414608,BBX46Q3
COMINAR REAL ESTATE INVT TR,CUF-U,8719,12.69,2094078,2419927
CHARTWELL RETIREME,CSH-U,7311,15.15,1755931,B8S8C94
RIOCAN REAL ESTATE INVESTMENT TRUST,REI-U,4727,24.82,1135254,2229610
SMARTCENTRES REAL ESTATE INVESTMENT,SRU-U,3808,30.13,914445,BZ22BK5
DREAM OFFICE REAL,D-U,4967,23.84,1192847,BMJJVS6
NORTHWEST HEALTHCARE PROPERTIES REIT,NWH-U,10184,11.35,2445933,B4Y8WM3
ALLIED PPTYS REAL ESTATE INVT,AP-U,2719,42.74,652924,2387701
Killam Aptment Real Est Invest Trust,KMP-U,8187,15.26,1966337,BYZ1856
NORTHVIEW APT REAL ESTATE INVT TR,NVU-U,4380,26.61,1051977,BYZGBB8
BOARDWALK REAL ESTATE INVT TR,BEI-U,2483,45.32,596233,B011205
CROMBIE REAL ESTATE INVESTMENT TRUST,CRR-U,8774,13.06,2107158,B11YBV5
GRANITE REAL ESTATE INVESTMENT TRUST,GRT-U,2232,53.49,536163,B9GS088
INTERRENT REAL ESTATE INVESTMENT TRUST,IIP-U,11492,10.78,2760127,B1L9R12
DREAM GLOBAL REIT,DRG-U,8580,14.11,2060650,BMJ71D5
ARTIS REAL ESTATE INVESTMENT TRUST,AX-U,8217,12.77,1973526,B0XZXV3
H&R REAL ESTATE INVESTMENT TRUST,HR-U,5540,20.01,1330590,B3DJHT2
CANADIAN APARTMENT PROPERTIES REIT,CAR-U,3176,42.98,762723,2117599

Ticker,Fund Account Number,Fund Name,Units Outstanding,NAV ($),Proj. Cash Amt. - 26-Jul-18 ($),Dist. Price Adj. ($),FX Rate,MER (%),Prescribed Number of Units,CAF(%)
ZSP,JH254,BMO S&P 500 INDEX ETF,122851140,40.80577,0.12209,0,1.30355,0.08,100000,0.03

Name,Ticker,Shares Per Basket,Price,Number of Shares,Sedol
CORNING INC,GLW US,108,43.29,141882,2224701
ALPHABET INC,GOOG US,40,1647.30,52119,BYY88Y7
UNIVERSAL HEALTH SERVICES INC,UHS US,11,153.98,14349,2923785
PAYCHEX INC,PAYX US,42,93.86,54767,2674458
DOWDUPONT INC,DWDP US,302,88.03,398176,BYP66M4
MORGAN STANLEY,MS US,177,66.53,232866,2262314
3M CO,MMM US,77,266.42,101466,2595708
LABORATORY CORPORATION OF AMERICA HLDS,LH US,13,234.20,17583,2586122
CONSOLIDATED EDISON INC,ED US,40,100.88,52686,2216850
BROADRIDGE FINANCIAL SOLUTIONS INC,BR US,15,156.37,19500,B1VP7R6
BLACKROCK INC,BLK US,16,668.06,21082,2494504
DENTSPLY SIRONA INC,XRAY US,29,60.99,37683,BYNPPC6
SCHLUMBERGER NV,SLB US,180,85.75,236599,2779201
INTERCONTINENTAL EXCHANGE INC,ICE US,75,100.10,99315,BFSSDS9
KOHLS CORP,KSS US,22,96.29,28848,2496113
AMERIPRISE FINANCIAL INC,AMP US,20,189.34,25880,B0J7D57
WESTERN DIGITAL CORP,WDC US,39,98.59,51133,2954699
H & R BLOCK INC,HRB US,26,32.75,34586,2105505
GARMIN LTD,GRMN US,14,82.66,18288,B3Z5T14
ALLIANT ENERGY CORP,LNT US,29,54.91,38500,2973821
CBRE GROUP INC,CBRE US,39,64.33,51849,B6WVMH3
BOSTON PROPERTIES INC,BXP US,20,162.77,25751,2019479
GENUINE PARTS CO,GPC US,19,126.44,25180,2367480
ALLEGION PLC,ALLE US,12,104.40,15678,BFRT3W7
CENTENE CORP DEL,CNC US,26,171.91,34729,2807061
EOG RESOURCES INC,EOG US,76,167.35,100279,2318024
TORCHMARK CORP,TMK US,13,109.33,17542,2896713
INTUIT INC,INTU US,32,283.20,41826,2459020
ADVANCE AUTO PARTS INC,AAP US,9,183.11,12133,2822019
UNDER ARMOUR INC,UAA US,23,27.48,30636,B0PZN11
HARTFORD FINANCIAL SERVICES GROUP INC,HIG US,47,68.25,61428,2476193
PARKER HANNIFIN CORP,PH US,17,212.67,22517,2671501
APTIV PLC,APTV US,34,124.10,45277,B783TY6
MASCO CORP,MAS US,39,49.38,51353,2570200
XCEL ENERGY INC,XEL US,65,59.56,86209,2614807
FIFTH THIRD BANCORP,FITB US,87,38.15,114571,2336747
XEROX CORP,XRX US,27,32.29,35221,BYWTW73
KROGER CO,KR US,104,36.86,137261,2497406
PENTAIR PLC,PNR US,21,54.63,27122,BLS09M3
AMETEK INC,AME US,29,98.18,38590,2089212
AMERICAN EXPRESS CO,AXP US,93,133.78,121963,2026082
QUEST DIAGNOSTICS INC,DGX US,18,140.34,23304,2702791
21ST CENTURY FOX,FOXA US,137,58.91,180618,BBM4S68
NEXTERA ENERGY INC,NEE US,61,218.67,80539,2328915
CINCINNATI FINANCIAL CORP,CINF US,19,92.94,24503,2196888
HCA HEALTHCARE INC,HCA US,36,153.99,47183,B4MGBG6
DISCOVER FINANCIAL SERVICES,DFS US,45,94.82,59775,B1YLC43
MOTOROLA SOLUTIONS INC,MSI US,21,161.71,27770,B5BKPQ4
JPMORGAN CHASE & CO,JPM US,443,150.14,583481,2190385
BEST BUY CO INC,BBY US,32,98.18,42079,2094670
SHERWIN-WILLIAMS CO,SHW US,11,570.03,13958,2804211
FORD MOTOR CO,F US,509,13.71,670793,2615468
MEDTRONIC PLC,MDT US,176,116.97,231386,BTN1Y11
FRANKLIN RESOURCES INC,BEN US,41,42.73,53415,2350684
WILLIS TOWERS WATSON,WLTW US,18,212.53,23294,BDB6Q21
MACERICH CO,MAC US,14,75.20,17923,2543967
CBS CORP,CBS US,43,74.71,57006,B0SRLH6
ROSS STORES INC,ROST US,49,114.01,64098,2746711
OCCIDENTAL PETROLEUM CORP,OXY US,99,109.93,130841,2655408
CARDINAL HEALTH INC,CAH US,39,64.42,51884,2175672
TWITTER INC,TWTR US,85,57.64,111900,BFLR866
ESTEE LAUDER COMPANIES INC,EL US,29,184.47,37857,2320524
GGP INC,GGP US,82,27.83,108375,BYMYV82
PROGRESSIVE CORP,PGR US,76,77.59,99923,2705024
BRIGHTHOUSE FINL INC,BHF US,15,54.79,19953,BF429K9
ANALOG DEVICES INC,ADI US,48,125.86,63614,2032067
MID-AMERICA APARTMENT COMMUNITIES INC,MAA US,14,128.43,18700,2589132
SCANA CORP,SCG US,18,52.40,23526,2545844
FASTENAL CO,FAST US,37,74.98,49350,2332262
FORTIVE CORP,FTV US,39,103.02,51991,BYT3MK1
ACCENTURE PLC,ACN US,83,217.80,109826,B4BNMY3
ADOBE SYSTEMS INC,ADBE US,64,343.06,84522,2008154
MARTIN MARIETTA MATERIALS INC,MLM US,8,290.63,10377,2572079
STRYKER CORP,SYK US,42,221.58,55065,2853688
PRUDENTIAL FINANCIAL INC,PRU US,55,126.41,71999,2819118
NEKTAR THERAPEUTICS,NKTR US,20,64.96,26400,2454445
L BRANDS INC,LB US,31,40.44,41030,B9M2WX3
STARBUCKS CORP,SBUX US,179,67.29,235744,2842255
CONAGRA BRANDS,CAG US,51,47.21,66914,2215460
MONDELEZ INTERNATIONAL INC,MDLZ US,191,54.10,251981,B8CKK03
DTE ENERGY CO,DTE US,24,141.17,31036,2280220
PHILLIPS 66,PSX US,55,146.45,71968,B78C4Y8
CAPITAL ONE FINANCIAL CORP,COF US,63,128.95,83386,2654461
TJX COMPANIES INC,TJX US,81,127.33,107093,2989301
M&T BANK CORP,MTB US,19,224.48,24769,2340168
ILLUMINA INC,ILMN US,19,411.70,25267,2613990
FIDELITY NATIONAL INFO SERVICES INC,FIS US,43,142.73,56821,2769796
NETAPP INC,NTAP US,35,106.14,45737,2630643
GAP INC,GPS US,28,39.20,36419,2360326
ESSEX PROPERTY TRUST INC,ESS US,9,303.39,11334,2316619
CMS ENERGY CORP,CMS US,36,62.41,47194,2219224
SIMON PROPERTY GROUP INC,SPG US,40,223.08,53060,2812452
CINTAS CORP,CTAS US,11,272.77,14648,2197137
GENERAL MOTORS CO,GM US,165,49.08,217434,B665KZ5
BROADCOM INC,AVGO US,52,294.56,69018,BDZ78H9
MACYS INC,M US,40,52.36,52584,2345022
CABOT OIL & GAS CORP,COG US,57,32.55,75563,2162340
EDWARDS LIFESCIENCES CORP,EW US,27,202.21,36005,2567116
BERKSHIRE HATHAWAY INC,BRK/B US,250,257.59,329864,2073390
VALERO ENERGY CORP,VLO US,56,142.52,73896,2041364
LEGGETT & PLATT INC,LEG US,17,58.24,21813,2510682
UNITED TECHNOLOGIES CORP,UTX US,96,175.65,127087,2915500
ABIOMED INC,ABMD US,5,561.36,7000,2003698
PROLOGIS INC,PLD US,69,83.11,91513,B44WZD7
TARGET CORP,TGT US,69,104.27,91322,2259101
ALLERGAN PLC,AGN US,44,230.51,57942,BY9D546
PUBLIC SERVICE ENTERPRISE GROUP INC,PEG US,65,67.05,85333,2707677
AT&T INC,T US,944,39.43,1244538,2831811
HANESBRANDS INC,HBI US,45,28.38,59528,B1BJSL9
THERMO FISHER SCIENTIFIC INC,TMO US,52,298.88,68718,2886907
ROCKWELL COLLINS INC,COL US,21,178.98,27829,2767228
NOBLE ENERGY INC,NBL US,63,46.54,83025,2640761
RED HAT INC,RHT US,23,194.57,30044,2447218
PAYPAL HOLDINGS INC,PYPL US,145,119.11,190653,BYW36M8
T. ROWE PRICE GROUP INC,TROW US,31,162.70,41329,2702337
W W GRAINGER INC,GWW US,7,447.37,8771,2380863
EQUINIX INC,EQIX US,10,563.97,13398,BVLZX12
WHIRLPOOL CORP,WHR US,8,161.91,10575,2960384
WESTROCK CO,WRK US,34,74.60,44824,BYR0914
ALEXION PHARMACEUTICALS INC,ALXN US,28,178.82,37562,2036070
BRISTOL-MYERS SQUIBB CO,BMY US,212,76.96,279262,2126335
REALTY INCOME CORP,O US,36,72.67,47504,2724193
MOHAWK INDUSTRIES INC,MHK US,8,283.35,10458,2598699
ECOLAB INC,ECL US,34,184.58,44503,2304227
OMNICOM GROUP INC,OMC US,29,88.38,38004,2279303
DAVITA INC,DVA US,18,90.57,24036,2898087
NORTHERN TRUST CORP,NTRS US,27,145.05,36178,2648668
EXXON MOBIL CORPORATION,XOM US,551,108.96,725622,2326618
ROPER TECHNOLOGIES INC,ROP US,13,376.19,17389,2749602
GILEAD SCIENCES INC,GILD US,169,102.88,222193,2369174
XL GROUP LTD,XL US,34,73.14,44276,BD95VZ8
ASSURANT INC,AIZ US,6,140.86,8549,2331430
AMEREN CORP,AEE US,32,79.99,41793,2050832
JOHNSON & JOHNSON,JNJ US,349,167.66,459625,2475833
HOLLYFRONTIER CORP,HFC US,22,93.92,29200,B5VX1H6
NEWS CORP,NWSA US,48,19.77,62940,BBGVT40
CA INC,CA US,40,57.42,52195,2214832
REGIONS FINANCIAL CORP,RF US,146,23.84,192717,B01R311
VORNADO REALTY TRUST,VNO US,22,93.69,28816,2933632
NATIONAL OILWELL VARCO INC,NOV US,50,55.17,65448,2624486
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH US,76,107.99,100453,2257019
HP INC,HPQ US,213,30.36,281348,BYX4D52
UNITED CONTINENTAL HOLDINGS INC,UAL US,31,105.01,40359,B4QG225
ZOETIS INC,ZTS US,63,111.64,82932,B95WG16
ROYAL CARIBBEAN CRUISES LTD,RCL US,22,144.39,28385,2754907
DOLLAR GENERAL CORP,DG US,33,128.73,43618,B5B1S13
METTLER-TOLEDO INTERNATIONAL INC,MTD US,3,798.57,4300,2126249
DISCOVERY INC,DISCK US,43,31.36,57040,B3D7KG4
EXPRESS SCRIPTS HOLDING CO,ESRX US,73,102.65,96285,B7QQYV9
CATERPILLAR INC,CAT US,78,183.12,102143,2180201
SYSCO CORP,SYY US,62,92.46,82260,2868165
EXELON CORP,EXC US,126,54.59,165485,2670519
SNAP ON INC,SNA US,7,219.31,9309,2818740
EBAY INC,EBAY US,118,44.18,156097,2293819
METLIFE INC,MET US,132,58.29,174188,2573209
MERCK & CO INC,MRK US,350,84.07,461505,2778844
TOTAL SYSTEM SERVICES INC,TSS US,21,122.98,27600,2897697
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF US,10,168.34,13342,2464165
CF INDUSTRIES HOLDINGS INC,CF US,29,57.75,38253,B0G4K50
NUCOR CORP,NUE US,41,88.62,54322,2651086
TAPESTRY INC,TPR US,37,62.64,49367,BF09HX3
DEVON ENERGY CORP,DVN US,67,59.01,87836,2480677
VERISIGN INC,VRSN US,12,197.08,15826,2142922
EATON CORP PLC,ETN US,56,102.95,74110,B8KQN82
MARATHON OIL CORP,MRO US,111,27.61,146424,2910970
GALLAGHER ARTHUR J & CO,AJG US,24,92.76,31300,2359506
NEWMONT MINING CORP,NEM US,69,48.84,90366,2636607
PNC FINANCIAL SERVICES GROUP INC,PNC US,61,186.03,80183,2692665
FOOT LOCKER INC,FL US,15,64.15,19800,2980906
C H ROBINSON WORLDWIDE INC,CHRW US,17,119.60,22908,2116228
LAM RESEARCH CORP,LRCX US,21,225.25,27714,2502247
MOODY'S CORP,MCO US,22,243.79,28519,2252058
PRAXAIR INC,PX US,37,216.14,49252,2699291
COMERICA INC,CMA US,22,125.27,29438,2212870
DIGITAL REALTY TRUST INC,DLR US,26,152.54,34800,B03GQS4
AON PLC,AON US,31,192.55,41467,B5BT0K0
BALL CORP,BLL US,45,49.69,59950,2073022
VERISK ANALYTICS INC,VRSK US,20,149.23,26643,B4P9W92
CBOE GLOBAL MARKETS INC,CBOE US,14,137.30,18500,B5834C5
UNDER ARMOUR INC,UA US,23,25.73,30783,BDF9YM2
SEMPRA ENERGY,SRE US,34,150.52,44580,2138158
HERSHEY CO,HSY US,18,121.01,23157,2422806
AMERICAN INTERNATIONAL GROUP INC,AIG US,117,69.83,153820,2027342
ELECTRONIC ARTS INC,EA US,40,190.97,52542,2310194
ANDEAVOR,ANDV US,18,183.16,23394,BF0G7N4
SBA COMMUNICATIONS CORP,SBAC US,15,209.45,19700,BZ6TS23
SYNOPSYS INC,SNPS US,19,121.44,25490,2867719
J M SMUCKER CO,SJM US,14,141.46,18663,2951452
SVB FINANCIAL GROUP,SIVB US,7,405.09,9100,2808053
IPG PHOTONICS CORP,IPGP US,5,312.71,6300,2698782
APPLE INC,AAPL US,638,253.96,840417,2046251
GENERAL ELECTRIC CO,GE US,1126,17.09,1483838,2380498
VULCAN MATERIALS CO,VMC US,17,157.08,21934,2931205
CITRIX SYSTEMS INC,CTXS US,16,142.40,21302,2182553
AMERISOURCEBERGEN CORP,ABC US,21,110.50,27846,2795393
ENVISION HEALTHCARE CORP,EVHC US,15,57.46,20200,BD8NPH3
VISA INC,V US,232,185.94,306160,B2PZN04
MICROCHIP TECHNOLOGY INC,MCHP US,30,121.14,39851,2592174
COSTCO WHOLESALE CORP,COST US,57,287.69,75280,2701271
PEOPLE'S UNITED FINANCIAL INC,PBCT US,43,23.86,57070,B1W41J2
NEWELL BRANDS INC,NWL US,61,33.75,80473,2635701
DOMINION ENERGY IN,D US,85,92.59,111853,2542049
RAYMOND JAMES FINANCIAL INC,RJF US,17,126.78,22300,2718992
EVERSOURCE ENERGY,ES US,40,77.35,52880,BVVN4Q8
LOEWS CORP,L US,34,65.02,44609,2523022
EXPEDITORS INTERN OF WASHINGTON INC,EXPD US,22,99.14,28994,2325507
FEDERAL REALTY INVESTMENT TRUST,FRT US,9,163.01,11973,2333931
LILLY ELI & CO,LLY US,124,125.70,163188,2516152
ZIONS BANCORPORATION,ZION US,25,67.16,32820,2989828
MATTEL INC,MAT US,43,21.23,56821,2572303
INVESCO LTD,IVZ US,53,34.36,70495,B28XP76
CHIPOTLE MEXICAN GRILL INC,CMG US,3,588.72,4066,B0X7DZ3
BANK OF AMERICA CORPORATION,BAC US,1226,40.50,1616035,2295677
UNITED PARCEL SERVICE INC,UPS US,89,156.69,117795,2517382
CIGNA CORP,CI US,31,231.38,41247,2196479
NORTHROP GRUMMAN CORP,NOC US,23,385.20,29818,2648806
INGERSOLL-RAND PLC,IR US,32,125.30,42479,B633030
SYNCHRONY FINANCIAL,SYF US,92,43.59,121588,BP96PS6
WEYERHAEUSER CO,WY US,97,45.27,127838,2958936
PPL CORP,PPL US,91,37.49,119776,2680905
FMC CORP,FMC US,17,114.16,22152,2328603
ALIGN TECHNOLOGY INC,ALGN US,9,497.66,12200,2679204
CLOROX CO,CLX US,17,169.87,22236,2204026
FLIR SYSTEMS INC,FLIR US,17,76.38,22827,2344717
AMERICAN AIRLINES GROUP,AAL US,53,49.78,69468,BCV7KT2
AFFILIATED MANAGERS GROUP INC,AMG US,7,196.72,9093,2127899
HUNTINGTON BANCSHARES INC,HBAN US,144,19.68,189337,2445966
PACKAGING CORP OF AMERICA,PKG US,12,151.66,15800,2504566
SEALED AIR CORP,SEE US,21,54.89,27968,2232793
SUNTRUST BANKS INC,STI US,60,94.36,78705,2860990
DOVER CORP,DOV US,19,105.41,25637,2278407
BROWN-FORMAN CORP,BF/B US,34,71.51,44945,2146838
WELLTOWER INC,WELL US,48,83.39,62797,BYVYHH4
BECTON DICKINSON AND CO,BDX US,35,327.40,45642,2087807
MOSAIC CO,MOS US,45,38.26,58921,B3NPHP6
REGENERON PHARMACEUTICALS INC,REGN US,10,488.17,13031,2730190
EDISON INTERNATIONAL,EIX US,42,87.12,55656,2829515
VERTEX PHARMACEUTICALS INC,VRTX US,33,230.48,43672,2931034
DEERE & CO,DE US,42,184.22,55549,2261203
NIELSEN HLDGS PLC,NLSN US,42,38.55,54935,BWFY550
PHILIP MORRIS INTERNATIONAL INC,PM US,202,109.25,266680,B2PKRQ3
ALPHABET INC,GOOGL US,39,1663.25,51233,BYVY8G0
JACOBS ENGINEERING GROUP INC,JEC US,15,87.47,19771,2469052
ALLIANCE DATA SYSTEMS CORP,ADS US,6,307.90,7991,2762030
VF CORP,VFC US,42,120.45,55978,2928683
ROCKWELL AUTOMATION INC,ROK US,16,239.15,21098,2754060
E TRADE FINANCIAL CORP,ETFC US,33,79.75,43936,2299011
INTERNATIONAL BUSINESS MACHINES CORP,IBM US,111,191.13,145888,2005973
AMGEN INC,AMGN US,87,251.64,114306,2023607
EASTMAN CHEMICAL CO,EMN US,18,132.58,23633,2298386
AMPHENOL CORP,APH US,39,121.28,51658,2145084
CAMPBELL SOUP CO,CPB US,24,52.43,31545,2162845
PUBLIC STORAGE,PSA US,19,286.35,25271,2852533
BB&T CORP,BBT US,101,66.06,133628,2830904
RESMED INC,RMD US,19,142.52,24500,2732903
ANTHEM INC,ANTM US,33,323.19,43560,BSPHGL4
UNUM GROUP,UNM US,28,49.50,36362,2433842
WEC ENERGY GROUP,WEC US,41,84.00,54056,BYY8XK8
FORTUNE BRANDS HOME AND SECURITY,FBHS US,19,70.30,25417,B3MC7D6
ALEXANDRIA REAL ESTATE EQUITIES INC,ARE US,13,160.78,17400,2009210
ABBOTT LABORATORIES,ABT US,227,85.03,299557,2002305
CIMAREX ENERGY CO,XEC US,12,128.22,15653,2987521
AMERICAN ELECTRIC POWER COMPANY INC,AEP US,64,90.44,84541,2026242
WELLS FARGO & CO,WFC US,570,75.91,751628,2649100
EQUIFAX INC,EFX US,16,166.46,20603,2319146
BANK OF NEW YORK MELLON CORP,BK US,131,69.48,173190,B1Z77F6
HENRY SCHEIN INC,HSIC US,19,100.56,25634,2416962
PERKINELMER INC,PKI US,14,103.28,18119,2305844
SALESFORCE.COM INC,CRM US,91,194.06,120481,2310525
APPLIED MATERIALS INC,AMAT US,131,59.91,172753,2046552
NISOURCE NEW,NI US,43,33.62,57010,2645409
ULTA BEAUTY INC,ULTA US,7,330.31,9700,B28TS42
PACCAR INC,PCAR US,46,83.65,60069,2665861
ILLINOIS TOOL WORKS INC,ITW US,40,179.97,52297,2457552
PIONEER NATURAL RESOURCES CO,PXD US,22,245.91,29261,2690830
PINNACLE WEST CAPITAL CORP,PNW US,14,103.96,18331,2048804
GENERAL MILLS INC,GIS US,76,56.77,100419,2367026
VARIAN MEDICAL SYSTEMS INC,VAR US,11,155.21,15058,2927516
21ST CENTURY FOX,FOX US,56,58.49,73338,BBM4S80
APACHE CORP,APA US,49,59.57,64690,2043962
MICRON TECHNOLOGY INC,MU US,150,69.60,198110,2588184
NETFLIX INC,NFLX US,57,473.02,74557,2857817
PEPSICO INC,PEP US,185,150.18,243215,2681511
PULTEGROUP INC,PHM US,33,37.78,43542,2708841
HOST HOTELS & RESORTS INC,HST US,97,27.44,127207,2567503
TEXAS INSTRUMENTS INC,TXN US,127,147.59,167285,2885409
WALT DISNEY CO,DIS US,194,144.93,255088,2270726
ANADARKO PETROLEUM CORP,APC US,67,95.56,88379,2032380
PERRIGO CO PLC,PRGO US,17,100.74,21981,BGH1M56
CME GROUP INC,CME US,44,220.98,58344,2965839
ALTRIA GROUP INC,MO US,245,75.41,323343,2692632
BOEING CO,BA US,71,463.96,93887,2108601
CARNIVAL CORP,CCL US,52,75.31,68576,2523044
ENTERGY CORP,ETR US,23,103.31,29986,2317087
AVERY DENNISON CORP,AVY US,11,146.41,14438,2066408
HELMERICH & PAYNE INC,HP US,14,76.67,18274,2420101
ARCONIC INC,ARNC US,53,25.11,70103,BD3D9G5
HARLEY DAVIDSON INC,HOG US,21,58.78,28133,2411053
NORDSTROM INC,JWN US,15,69.62,19520,2641827
INTEL CORP,INTC US,606,68.35,798644,2463247
CELGENE CORP,CELG US,92,114.28,120785,2182348
DELTA AIR LINES INC,DAL US,83,67.34,109275,B1W9D46
STATE STREET CORP,STT US,47,113.68,61928,2842040
CERNER CORP,CERN US,40,79.58,52788,2185284
COLGATE-PALMOLIVE CO,CL US,113,85.97,149458,2209106
CONSTELLATION BRANDS INC,STZ US,22,280.46,28872,2170473
NVIDIA CORP,NVDA US,79,328.33,104121,2379504
VIACOM INC,VIAB US,44,36.34,58344,B0SRLF4
MOLSON COORS BREWING CO,TAP US,23,85.27,30358,B067BM3
SOUTHWEST AIRLINES CO,LUV US,69,68.16,91148,2831543
HEWLETT PACKARD ENTERPRISE CO,HPE US,198,20.18,260848,BYVYWS0
HASBRO INC,HAS US,14,132.53,18653,2414580
HONEYWELL INTERNATIONAL INC,HON US,97,205.99,127659,2020459
CISCO SYSTEMS INC,CSCO US,612,56.26,805969,2198163
GOLDMAN SACHS GROUP INC,GS US,46,308.54,60244,2407966
GOODYEAR TIRE & RUBBER CO,GT US,30,28.21,39757,2378200
UNITED RENTALS INC,URI US,11,190.79,13969,2134781
INTERNATIONAL PAPER CO,IP US,53,69.14,69901,2465254
CSX CORP,CSX US,114,92.49,150042,2160753
KELLOGG CO,K US,32,92.36,42772,2486813
DUKE ENERGY CORP,DUK US,91,104.52,120143,B7VD3F2
KIMBERLY-CLARK CORP,KMB US,45,138.65,59962,2491839
REGENCY CENTERS CORP,REG US,19,81.90,24400,2726177
DARDEN RESTAURANTS INC,DRI US,16,139.55,21217,2289874
ZIMMER BIOMET HOLDINGS INC,ZBH US,26,152.70,34438,2783815
BOOKING HOLDINGS INC,BKNG US,6,2692.73,8308,BDRXDB4
LKQ CORP,LKQ US,39,43.93,51700,2971029
TYSON FOODS INC,TSN US,39,81.63,51006,2909730
BAKER HUGHES A,BHGE US,52,43.37,68852,BDHLTQ5
HORMEL FOODS CORP,HRL US,34,47.12,44272,2437264
AMAZON.COM INC,AMZN US,52,2429.31,68965,2000019
TRAVELERS COMPANIES INC,TRV US,35,164.61,45647,2769503
IDEXX LABORATORIES INC,IDXX US,11,327.36,14890,2459202
DANAHER CORP,DHR US,80,134.97,104983,2250870
BIOGEN INC,BIIB US,27,500.34,36066,2455965
AUTODESK INC,ADSK US,28,177.09,37070,2065159
STANLEY BLACK & DECKER INC,SWK US,20,183.02,26427,B3Q2FJ4
HCP INC,HCP US,61,34.19,80603,2417578
NIKE INC,NKE US,166,100.58,219097,2640147
MICHAEL KORS HLDGS LTD,KORS US,19,89.05,25188,B7341C6
QORVO INC,QRVO US,16,105.91,20746,BR9YYP4
TRANSDIGM GROUP INC,TDG US,6,485.01,8300,B11FJK3
DISH NETWORK CORP,DISH US,28,38.81,37400,2303581
UDR INC,UDR US,33,48.40,44000,2727910
FLOWSERVE CORP,FLS US,17,55.65,21854,2288406
HUNTINGTON INGALLS INDUSTRIES INC,HII US,6,296.36,7500,B40SSC9
BORGWARNER INC,BWA US,25,57.38,32512,2111955
CHARTER COMMUNICATIONS INC,CHTR US,24,358.02,31700,BZ6VT82
QUALCOMM INC,QCOM US,192,77.46,253268,2714923
CUMMINS INC,CMI US,20,177.04,26564,2240202
KLA-TENCOR CORP,KLAC US,20,136.14,26109,2480138
GARTNER INC,IT US,12,181.92,15600,2372763
EXTRA SPACE STORAGE INC,EXR US,16,122.86,20852,B02HWR9
HILTON WORLDWIDE HOLDINGS INC,HLT US,36,104.77,47900,BYVMW06
CONCHO RESOURCES INC,CXO US,25,191.97,32300,B1YWRK7
ALASKA AIR GROUP INC,ALK US,15,77.05,20200,2012605
EXPEDIA GROUP INC,EXPE US,15,166.28,20387,B748CK2
CITIGROUP INC,C US,332,93.49,437493,2297907
TEXTRON INC,TXT US,33,87.31,43277,2885937
FEDEX CORP,FDX US,32,313.16,41998,2142784
CARMAX INC,KMX US,23,98.03,29657,2983563
KRAFT HEINZ CO,KHC US,78,78.00,102467,BYRY499
QUANTA SERVICES INC,PWR US,19,43.97,25440,2150204
COCA-COLA CO,KO US,497,60.08,655663,2206657
AETNA INC,AET US,42,246.53,55864,2695921
